,DATE,REVIEW,star
50,2020-12-29,알람기능도 제대로 작동하지않고 갈수록 렉이 심해져도 신경안쓰고 현질유도에만 관심두는거 같음 안하는게 제일좋은게임 더이상 뭐라고 혹평하기두 지쳤음,1
51,2021-2-24,별1개도아까운게임. 포인트 벌려고 게임시작했지만 세력20만 찍었는데 포인트도 안줘 뭐만하면 과금질러라. 게임 운영팀의 얼굴이 참궁금하다,1
52,2021-3-8,몰러 무슨 게임이 이리 어렵게해놨지??,5
53,2020-12-29,포인트 때문에 시작했다가 시간이 벌써 2달이 넘었내요 나름 중독성도 있고 재미는있어요 시간이 지날수록 과금없이는 힘들어진다는게 단점이죠 재미삼아 해볼만은 합니다,5
54,2020-11-7,"하지마세요..다른 앱 이벤트때문에 3달전에 시작했다가 나름 할만해서 계속했는데, 현질 유도가 심합니다. 그래도 나름 현질하면서 (세달동안 200만원정도?) 했는데, 아이템 판매하면서 사기도 칩니다. 쓸만한 부스터 2개 묶어 팔길래 고민하다 12만원주고 질렀는데 한개만 적용. 그래서 따졌더니 자기들 실수로 두개가 묶어 나갔는데 원래 한개만 적용되는 부스터라고함. 그래서 환불요청했더니 한개만 해도 충분한 가치가 있는 거라 환불은 안된다고함. 앞으로 이런 실수 안하겠다고, 그런데 환불은 안되니 그냥 열심히 하라고 답장메일 옴. 계속 따지...
전체 리뷰",1
55,2020-12-25,굿이요 15분마다 자동으로 다운돼서 눈의피로도 줄어들게 해주고 정말 유저를 생각해주는 게임이에요 오류가 있어도 절대로 수정을 안해주는 좋은 게임입니다^^,5
56,2021-1-26,좀더경험해봐야할것같아요,4
57,2020-12-31,착하게사시요 진정한 게임을 만드시요 만든 조잡한 게임입니다 어떤 아이템을 구입하든 조잡 그 자체입니다 이글을 보시면 빨리 나가세요 제발!,1
58,2021-1-13,굿 재미있게하고있어요,5
59,2021-1-19,재미있는 게임 중,5
60,2020-11-24,"해피머니에서 레벨 달성하면 포인트 준다기에 일단 시작했는데...막상 레벨 달성해도 포인트는 안 주고. 아니. 애당초 하루 이틀만에 레벨을 달성할 수 없도록 현질 범벅으로 만들어놓고, 막상 레벨을 달성하니까 먹튀한 듯이 없네? 허참...그리고 이걸 게임이라고 만들었나? 스킨만 파이널 판타지이고 실제로 아무런 상관없는 게임...사냥하는데도 현질을 해야하는 게임이라니.",1
61,2020-10-18,여자 캐릭이 나와서 설명해주는데 복장이 야함. 기분나쁨. 20만 세력 모으려 했는데(이벤) 관련 설명이 없음. 렉이 심해서 타 게임에 비해 확인 속도(버튼 누른 후 작동속도)가 느림. 현질유도가 심함. 은행이 있으면 '돈을 넣을 수 있어요!' 정도만 알려주고 기능설명이 부족함. 다른 어플에 광고 많이 뜨는거치고 재미없음. 목적이 뭔지 모르겠는 게임. 제목만 보면 제국키우기 느낌인데 설명이 부족함. 등등,1
62,2021-2-23,인제시작중 해보고...,5
63,2020-12-1,현질유도깸 요즘 계속 뭘만듬 계속유도 현질 가격도 몇번사면 내려가지않고 같은 템 비싸게팜 무료부스터 먹기전에 1234원자원50퍼 6천냥에 구매했는데 무료부스터 작동안함 현질해서 막은거때문에 그렇다네요 1자원그래 참자... 생각하니 2자원건설때 어쩌라고 쓰레기를 샀음 환불도 안해주고 상담종료 후 스피드 몇개줌 사기꾼들임,1
64,2020-10-24,"개인적으론 현질유도를 해도 현질 안하면 되기에 큰 신경을 안써서 현질유도는 상관이 없지만 하루 전까지만 해도 2M정도의 식량을 보유중이었는데 접속해보니 식량이 0으로 바뀌어있어요.. 심지어 자원타일에서 식량 채집 시키고 나갔었고 공격 당했다는 알람도 안떳고 식량 128,000 채집했다는 기록도 남아있는데.... ㅠㅠ",2
65,2021-2-6,세력20만달성했는데리워드지급이안되요,5
66,2020-9-23,"이게임은절대하지말자,자기들이줘야할건안주고,상품만팔기바쁘다.일본게임들은다그런거같다.메일을보내도.계속반복되는소리만~이상한소리만한다",1
67,2021-2-21,별로 재미없음,3
68,2021-3-14,현질을 과하게 원하는것 같은 느낌,2
69,2020-11-7,과금하면 통수 맞습니다. 절대 과금하지 마세요. 가장 최선은 과금을 유도하는 게임은 하지 않는 것입니다.,5
70,2018-11-19,최고 현질러가 여기에선 왕이 됩니다. 현질 안하면 싸그리 뚜까 맞는 게임이라서 고현질하지 않는 이상 그닥 추천하고싶지는 않네요. 역대 해본게임중에서 광고게임보다 못하는 게임이네요. 광고게임때문에 가끔은 들어갑니다. ㅋㅋㅋㅋ 광고게임이 10만배는 더 나음. 그리고 네이버 웹툰 쿠키 얻으려고 설치하시는분들한테 말하고싶은게: 이 게임에서 적어도 2만원이상은 현질해야 5일안에 세력10만할까말까합니다. 절대 무현질로는 안돼요. 차라리 앱다운하고 쿠키받는식으로 계속하시는걸 추천합니다..ㅠㅠ,1
71,2021-3-7,겁니힘들고 렙업안되네,5
72,2019-3-29,"파이널 판타지라는 가면을 뒤집어 쓴 양산형게임. 문제점을 지적하자면 한도끝도 없지만, 딱 세가지만 늘어놓자. 하나, 조온나 복잡하고 지저분한 건설, 스킬, 연구트리. 다양한건 좋다 이거야. 직관적으로 뭔가 딱 떨어지고, 성취감을 느낄수 있게 해야지. 과금없이는 한가지 건설씩밖에 못하는데, 지을건 더럽게 많아. 지을려그러면 뭐가 그렇게 걸리는게 많아. 그렇게 지어놓으면 뭔가 제구실이라도 하던가. 둘, 이야기 없는 판타지? 파이널 판타지 한번이라도 해봤어? 그럼 최소한 향수라도 맡게끔 해야지. 이건 우롱하는게 아니라, 이름가지고 사기치...
전체 리뷰",1
73,2018-10-24,"솔직히 재미는 있었어요 광고랑 전혀 다른 게임에 파판 캐릭터들만 빌려온 게임이긴 하지만요. 가장 큰 문제는 과금 유도가 정말 심해요. 5천원 한번지르면 만원으로 오르고 그다음 오만원 그 다음 십만원으로 오르고 그전가격으로는 절대 구매를 못하는 사악한 과금 시스템이죠. 무,저과금으로 하자니 이곳저곳에서 털려서 키우기도 힘들고 조금씩조금씩 지르고 싶어도 불가능한 시스템이라 부계정이라도 키울 수 밖에 없구요. 과금을 안하면 조금 어려움이 있다. 정도가 아니라 그냥 게임 자체를 즐기지 못합니다. 그리고 일본쪽 핵과금러들. 마치 서버에서 왕...
전체 리뷰",2
74,2019-5-23,1.과금 노답겜 과금 안 하면 한 사람과 차이납니다. 과금도 가격만 올라가고 안 지르면 싸움조차 못합이다. 제가 웬만하면 다 별 5개 주는데 이건 진짜 개 노답입니다. 2. 파판이랑 전혀 관계없습니다 네 그냥 듣보잡게임이에요. 파판과 관계? 1도 없어~ 3. 게임성 그냥 해본 게임 중에 제일 최악이네요. 4. 그냥 게임하지 마세요 제발요,1
75,2019-1-6,깔았는데 렉도 심하고 무엇보다 전에 쿠키 땜에 깔앗던 게임하고 방법이 비슷하더라구요.. 근데 그게임은 퀄리티가 좋아서 계속 하고 있는데 둘중 하나만 선택하라고 하면 다른게임을 선택할것 같습니다...ㅜ 아 그리고 광고에서 봤던게임이랑 달라서 좀.. 그렇네요. 광고에선 재밋게 플레이 한것 같은데ㅠ,1
76,2018-9-29,성채10렙 달성하면 8천캐시준대서 몇주를 했는데 며칠전까지 꼬박꼬박 보였던 광고미션이 갑자기 사라졌습니다. 리뷰보니 저만 당한게 아닌거같은데.. 진짜 기분 나쁘네요. 게임자체만으로 평가해도 성채 10렙 달성하는동안 이거저거 해봤지만 도대체 뭐하는 게임인지 모르겠습니다. 뭐만 누르면 계속 과금유도 광고나 뜨고...,1
77,2018-10-21,현 파판유저인데 광고사라지는 것좀 여기다올리지마세요. 그런다고 해결안해줍니다. 직접메일을 보내도 해줄까말까인데..그리고 그 외 불평들 올려놓은거보면 (패키지관련제외) 다 자기가 제대로 확인이나 게임을 모르면서 막 버그라고 올려놨는데 확인은 좀 하고 불평합시다. 현질유도는 답이없지만..,3
78,2019-1-11,꽁캐시 모을려고 깔았거든요? 근데 뭔 성채 레벨10을 올리는데 채석장 10개를 새우고 별 난리를 다 첬는데 1년간 8렙밖에 못갔네요? 미니게임은 왜 만든거죠? ㄱ노잼인데? 닥분에 길드에서 인싸만 됬습니다 ㅋㅋㅋㅋㅋㅋㅋㅋㅋ 개어이없어 ㅋㅋㅋㅋㅋㅋ 게임을 할려고 이게임을 깐건지 노가다와 소통할려고 깐건지 구분이 안가요 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ 오늘 드디어 10렙됬어요 ㅎ 길드에서 지원참 잘해주시더라고요 ㅎㅎ 근데 그 얼탱이없는 세율 때문에 지원도 조금조금 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ 그냥 구두쇠게임아니야? ㅋㅋㅋㅋㅋ,1
79,2020-11-2,세력달성 이벤트로 이번에 처음 깔아서 했더니 몇일을 걸려 겨우 20만 달성했는데 캐시 안주네요...이게 뭔 경우인지...여지껏 이겜 해본게 이번이 처음인데...,1
80,2019-8-25,"시간낭비했네요. 별로 재밌지도 않고 그냥 망했으면 좋겠습니다. 광고 창도 좀 맘에 안들어요. 현질 유도 넘 심함. 그리고 개인정보 관리도 좀.... 어쨌든 이게임 절대 하지 마세요. 시간낭비입니다. 자원도 부족해요. 별 1개도 아깝습니다. 그리고 제가 그냥 제 아이템 창에 들어가서 골드 수령을 했는데... 왜이렇게 많이주죠? 게다가 다른 사람이 현질 한게 누락됬다는데 설마 렉입니까? 현질 한 사람꺼 골드를 딴사람한테 줍니까? 이니, 그냥 많이도 아니고 333392골드를 주셨어요. 그 전에 더 적은걸로 알았는데 왜 점점 불어나는지;;...
전체 리뷰",1
81,2018-12-22,"저는 큰 인내심을 가지고 지금까지 불만을 참으면서 이 게임을 했습니다. 결국 리뷰를 쓰기 위해 시간을 내서 여기까지 왔습니다. 정말 버그가 많습니다. 재미는 둘째치고, 신기한 버그가 너무 많아서 게임을 진행하고싶은 욕구가 없어져버립니다. 아주 자주 게임이 먹통이 됩니다. 클릭을 해도 화면상에 반응이 없는 일이 자주 일어나고, 그러면서 실제로는 무엇인가 진행되고있는 경우가 부지기수입니다. 나는 분명 사냥을 시작하도록 지시했는데 아무런 반응이 없고, 게임을 다시 실행해보면 이미 사냥은 끝나있습니다. 퀘스트를 완료해서 보상을 수령하려고 ...
전체 리뷰",2
82,2018-10-4,과금 오류해도 환불은 안됩니다. 1회 한해서 환불한다는 말 믿지마세요. 답변도 없을겁니다. 미국 연방법 적용이라 피해만 입을 겁니다. 구글 스토어 책임은 없으니 겜운영자 개발자에게 메일로 상담하세요. 그리고 구글은 이런겜을 왜 설치하라는건지 미국국적이라 그런가? 타국에 대한 배려는 없어요. 혹시라도 설치하시면 앱을 지우시는게 좋겠죠? 하고 나면 후회하는 겜입니다. 애착이 안가면 현질은 하지마세요.,1
83,2019-1-13,"어차피 이런 양산형 게임은 현질유도에 과금러들이 판치게 되어있음. VIP도 돈주고 활성화해야됨. 쿠키나 캐시 받으려 이거 하지 마세요 어차피 10홀 찍기 어려우니까. 그리고 이런데에 돈지르는 사람들, 당신들 때문에 이런 현질똥게임이 판을 치는거야 정신 좀 차려 언제까지 개돼지로 살면서 꿀꿀거릴래?",1
84,2018-12-26,카카오페이지 캐시프렌즈에서 이벤트를 한다는거에요. 성채레벨을 10달성하고 3500캐시를 받자고 했죠. 바로 지급된다면서요. 우리는 다 속은거에요(속은 미어켓얼굴) 사전 공지없이 이벤트가 종료된건지라도 알려주세요. 만약 종료된 게 맞다면 카카오페이지 캐시프렌즈는 광고내려주시고요.,1
85,2018-10-21,과금유도 게임 내가 미쳐서 현질을해서 돈 아까워 하고 있다만 렉 장난아니고 사지도 않은 팩을 계좌에서 99.99불을 빼갔길래 문의하니 개발자도 구글도 모르쇠. 결국 돈 날림. 절대 이게임 하지 마세요. 현질 안하면 렙업 자체가 안되요. 여기 고렙들은 무조건 공격할수 있고 저렙은 그냥 당해야만 하는 시스템. 현질 없이 절대 못하는 게임 최악 입니다.,1
86,2019-2-4,"제발 광고좀 그만해주세요. 아니면 게임 체험해보는 그광고만 하세요. 광고때문에 파이널판타지? 지겨워질 지경입니다. ㅍㅌㅋㄷ라는 앱에서 광고돌릴때마다 좀 공포스러운광고를 해대니까 짜증나려하네요. 얼굴 클로즈업으로 시작해서 공포영화 '링' 을 연상케하는 즉, 티비에서 캐릭터기어나오는 광고 없애주세요 극혐입니다.",1
87,2020-8-28,"이게임을 하지 말아야할 이유. 1.모든 페이지마다 현금결제 유도 페이지 있음. 2.시작한지 2분도 안되서 멈출 정도로 버그 많음. S20 사용자임. 3.목적성불명확. 세계관은 쪄먹음 4.비슷한 스타일의 게임 중 퀘스트 보상이 가장 적다. 5.인터페이스 효과도 없고 디자인도 매우 어울리지 않으며 직관성 매우 떨어짐. //////// 이 게임을 해야할 이유. 1. 게임은 이렇게 만들면 안된다를 배울 수 있는 매우 좋은 예시가 된다. 2. 스토리가 아무리 좋아도 이렇게 엉망으로 만들 수도 있구나 배울 수 있다. 3. 내가 돈이 많다고 과...
전체 리뷰",1
88,2021-2-28,레벨4자원하고 mp좀 많이주세요,5
89,2019-1-6,네이버쿠키를 준다길래설치하고해보려했는데 일단 미션자체가 현질을 안하면 달성할수없는 미션임. 고로낚시다...이말입니다. 뭔놈의 현질유도는 계속있어서 뭐 클릭할때마다 초대박 최저가 팝업이뜨구요. 게임이 뭘 말하는지 뭘하는건지 튜토리얼도 쓰레기임. 정말 파판의 명성을 갉아먹는 좀발레임,1
90,2019-8-6,실수로 아이템이 구매되었고 환불 요청을 하니 2주간 해줄듯 안해줄듯 하다 결국 한다는 말이 이미 판매된 아이템은 환불 되지 않는다. 단지 사용자들이 실수해서 아이템팔이로 돈을 벌려는 전략이라면 본인들 스스로 게임에 대한 확고한 믿음이 없다는 반증 아닌가 싶다. 내 주위에 이 게임을 추천하고 싶지 않다. 영업이익을 내고 싶으면 게임을 잘 만들어 플레이어들이 아이템을 원하게끔 해야지 실수로 구매된 것을 기다린다면 미래는 없다. 나역시도 이게임은 하지 않겠다. 물론 추천하지도 않는다.,1
91,2019-2-23,"리뷰:그래픽이랑 디자인은 나름 ㄱㅊ 하지만 그러나 게임에 퀘스트,건물짓는 시간을 시간이 지나면 완성으로 해놓아서 지루함 광석이나 작물값이 너무 많이들어가 노가다가 매우심함 현질유도 너무 심각함 그리고 다른게임들 처럼 몹을 잡아서 아이템이 나오는 시스템같은 효율적으로 쓸수있는 시스템이 없음 있다면 한번때릴때 마다 에너지물약이 50소모된다는 노가다의 필요성 미니게임이라도 있으면 뭐하나 랙걸려서 망하고 24시간뒤에 다시해야한다는 쓰레기 단점 그래도 7분마다 주는 상자덕분에 좀 할만함 추가될 사항:무료로 싸우게 해주세요 시간줄이기 자원줄이...
전체 리뷰",1
92,2018-12-26,"카카오페이지 캐시이벤트에 참여해서 아주열심히 성채레벨 10까지 올렸는데 아무 반응이 없네요ㅜㅜ그 페이지로 바로 접속도 했고요 기준을 다 지켰는데 3500캐시가 바로 지급되지 않습니다. 빠른 조치 부탁드려요! 이런류의 게임을 몇개 경험해봤는데 캐릭터레벨9, 성채레벨10인 현재까지 게임자체는 보통이었네요. 레벨이 낮아서 아직은 건물짓고 자원모으는데 치중이 돼있는 것 같습니다만 레벨이 올라가면 할 게 더 다양해질지는 해봐야 알 것 같습니다.",3
93,2018-11-26,그냥 내가 이런 겜을 좋아해서 겜 자체는 사실 별로 나쁘지 않았음. 첨에 시작은 네이버 쿠키 오븐이였는데 수령 후 7일 내에 사용 해야함. 일주일에 100편을 미리보기 해야한다는 소린데 그럼 한 웹툰당 3개씩 33개 웹툰을 미리보기 해야됨. 상식적으로 ㅋㅋ 오바임 ㅋㅋ,4
94,2018-10-15,이 게임은 다른 걸 다 떠나서 렉이 너무 심함 ㅡㅡ 이런 겜에 현질까지 한 내가 이해가 안 되면서도 침략 한 번 당하니까 존심이 현질을 유도하고 있음 ㅋㅋ 결국 현질했음 처음에는 6천원이니까 가벼운 마음으로. 다음 현질은 2만 5천원이라 안 할 것 같음 렉이 너무 심해서 내 인내심이 어디까지 버틸지가 의문임,3
95,2019-11-24,"게임에 스토리도 없고 퀄리티도 별로고 현질유도도 너무 심하고 컨텐츠도 별로없고 솔직히 별 한개도 아까워요. 재미없으면 하지말라는 글이 보이는데 재미도 없는걸 누가 계속 해요 바로 삭제했어요 시간,돈 투자하기 아까운 게임이네요. 돈을 벌고싶으시면 조금더 정성껏 만드시지..안타깝네요",1
96,2019-1-20,음..카카오페이지에서 캐쉬 받을려고 깔았는데 1분 정도 지나서 바로 지웠습니다 튜토리얼은 성채 업그레이드 버튼 누르는 걸로 끝나고 뭘해야 되는지 모르겠는 상태에서 그래픽은 안 좋고... 망겜입니다 여러분!!캐쉬 받을려고 까는거면 깔지 마세요!설마~하고 깔았다가 멘탈나갑니다!! 그럼20000,1
97,2018-9-29,일단 렉보다는 게임이 전반적으로 너무 재미가 없는것 같네요. 또 렉이너무 심하고 터치를 한번할때마다 너무 렉이 심한것 같네요. 저도 카카오 페이지 때문에 깔게 되었는데. 게임이 너무 재미가 없는 것 같네요. 리뷰 보니까 저만 이런거 아닌것 같은데 진짜 이 게임 고쳐야 할 것 같네요.,2
98,2018-12-19,이겜은 문제있는 게임이니 권하지 않습니다. 과금을했는데 아이템도 안주고 구글에서도 정상결재처리 되었다고 하는데도 개발사에서는 결재확인이 안된다고 수없이 결재 영수증을 보내도 자기들은 확인이 안된다고 아이템도 안주고 신경도 안쓰네요.유저들 우롱하는 게임은 하지마세요.,1
99,2019-7-17,같은 내용의 상품을 당일에 반값 할인한다거나.. 같은 종류의 아이템을 하루만에 업그레이드 버젼을 판매하는 등 소비자를 우롱하는 게임입니다. 참고로 1회 구매에 13만원입니다. 그리고 과금 없이는 게임 진행이 안된다고 보면 돼요.. 절대 시작하지 마세요!,1
100,2018-11-21,"이게임 수천만원 현질한 사람들 봤습니다. 현질절대 하지마세요 이게임은 레벨이 올라갈수록 현질을 하지 않고는 플레이가 불가능하며, 처음에 아이템 7천원짜리 현질1번하면 그뒤엔 2만원 짜리 밖에 안보임 또 이거 결제하면 그다음엔 무조건 10만원짜리로 넘어가요 가끔 이벤트하면5만원짜리 나옴,그러니까 7천원-2만원짜리 딱1번 현질 해버리면 두번 다시 안 보임 무조건 10만원짜리만 있음 이런식으로 수천 현질한 사람도 있어요. 현질유도 최고로 심한 최악의 게임입니다.",1
101,2018-9-25,아니..처음에는 카카오 페이지에서 성채10레벨 되면 3500캐시를 준다고 해서 끌려서 했는데 재미는 있었어요 근데 성채 10레벨이 되어도 캐시는 주지도 않고 계속 '참여했거나..'라고 하면서 계속 안 주길래 사기 당한 기분이여서 넘 짜증이 나네요. 그리고 계속 접속할 때마다 현질하라는 듯 계속 광고?가 뜨네요..전 돈까지 쓰라고 하니까 더 짜증이 나네여,1
102,2019-5-8,아이템 구매 관련 일부 아이템들이 지급되지 않은 것에 대해 일주일 내내 계속 메일과 메세지를 보냈는데 계속 문제가 있으면 연락하라는 간단한 메일만 하나 오고 아무런 답이 없네요. 고객 지원이 너무 형편 없는 것 같네요. 문의드린 사항에 대해 빠른 조치 바랍니다.,1
103,2019-2-10,"다른 게임 리워드 받으려고 성채10에 도전해보려 한다.. 24시간 안에 성채레벨 10을 만들라고 하더라.. 6에서 7만드는데 4시간이 넘게 걸렸다.. 과금을 하지 않고서는 도저히 할수가 없다.. 시작한지 8시간 됐는데.. 24시간안에 10을 만들수 있을지 의문이 생기기 시작한다.. 펙트는.. 재미도 없고 의미도 없다.. 원래 이런 종류의 게임을 좋아하지 안는다.. 그런데 이게임은.. 정체성을 논하지 않을수가 없구나.. 6천원 과금 유도를 자꾸만 하는데.. 아까워서 도저히 결제를 할수가 없다.. 아... 도전실패가 눈 앞에 보이는구나...
전체 리뷰",1
104,2019-1-31,"세력 10만 미세팁/ 1. 새벽 2~5시 구간 이벤트노리기 가끔씩 영웅 레벨업 이벤트, 에테르 사용하기 이벤트, 수집이벤트가 있는데 순위보상으로 골드를 1등의 경우 25k나 주고, 그 외 자원을 800~1200만 단위로 줌./ 2. 벽칠 성벽업그레이드 후 대학교에서 방어 ㅡ 전기 불 등등.. 업그레이드 해체 후 성벽에서 설치 시 세력이 뻥튀기가 됨/ 3. 병력불리기 공성병기 추천. 안쉬면서 계속 생산하는게 중요하고, 대학교에서 전투에서 여러 해금단계를 거쳐서 공성병기 2레벨 해금시, 2레벨 공성병기 몇백개로만 세력을 몇천단위를 불릴...
전체 리뷰",5
105,2019-4-16,"게임 이벤트 구성도 엉망진창에 잘못된 아이템 보상은 서버 내레 존재하지도 않는 걸로 주면서 다른 사람과 교환하라고 하고... 운영자가 일하기 싫어서 몸부림을 치고 있거나 게임하지 말라고 고사를 지내는 건 아닌가 싶네요. 서버 내에 영웅 해제권 선물용을 가진 건 겹치는 아이템 보상으로 운영자가 직접 준 저 말고는 없어요. 그런데 다른 영웅 해제권은 줄 수 없다고 하면, 누구와 어떻게 교환하라는 거죠? 게임을 하지 말라고 하고 싶었던 거라면 지금까지 결제한 거 모두 환불해주세요, 게임 접겠습니다.",1
